2023/11/03 17:14:03 [error] 20#20: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.25.0.1, server: smartsafe-portal.co, request: "GET / HTTP/1.1", upstream: "fastcgi://172.25.0.4:9001", host: "smartsafe-portal.co"
2023/11/03 17:16:20 [error] 20#20: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.26.0.1, server: smartsafe-portal.co, request: "GET / HTTP/1.1", upstream: "fastcgi://172.26.0.2:9001", host: "smartsafe-portal.co"
2023/11/03 17:16:21 [error] 21#21: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 172.26.0.1, server: smartsafe-portal.co, request: "GET / HTTP/1.1", upstream: "fastcgi://172.26.0.2:9001", host: "smartsafe-portal.co"
2023/11/03 17:16:21 [error] 21#21: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 172.26.0.1, server: smartsafe-portal.co, request: "GET / HTTP/1.1", upstream: "fastcgi://172.26.0.2:9001", host: "smartsafe-portal.co"
2023/11/03 17:16:21 [error] 21#21: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 172.26.0.1, server: smartsafe-portal.co, request: "GET / HTTP/1.1", upstream: "fastcgi://172.26.0.2:9001", host: "smartsafe-portal.co"
2023/11/03 17:16:21 [error] 21#21: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 172.26.0.1, server: smartsafe-portal.co, request: "GET / HTTP/1.1", upstream: "fastcgi://172.26.0.2:9001", host: "smartsafe-portal.co"
2023/11/03 17:16:22 [error] 21#21: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 172.26.0.1, server: smartsafe-portal.co, request: "GET / HTTP/1.1", upstream: "fastcgi://172.26.0.2:9001", host: "smartsafe-portal.co"
2023/11/03 17:16:22 [error] 21#21: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 172.26.0.1, server: smartsafe-portal.co, request: "GET / HTTP/1.1", upstream: "fastcgi://172.26.0.2:9001", host: "smartsafe-portal.co"
2023/11/03 17:16:22 [error] 21#21: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 172.26.0.1, server: smartsafe-portal.co, request: "GET / HTTP/1.1", upstream: "fastcgi://172.26.0.2:9001", host: "smartsafe-portal.co"
2023/11/03 17:16:33 [error] 21#21: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 172.26.0.1, server: smartsafe-portal.co, request: "GET / HTTP/1.1", upstream: "fastcgi://172.26.0.2:9001", host: "smartsafe-portal.co"
2023/11/03 17:19:09 [error] 20#20: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.27.0.1, server: smartsafe-portal.co, request: "GET / HTTP/1.1", upstream: "fastcgi://172.27.0.4:9001", host: "smartsafe-portal.co"
2023/11/03 17:19:10 [error] 22#22: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 172.27.0.1, server: smartsafe-portal.co, request: "GET / HTTP/1.1", upstream: "fastcgi://172.27.0.4:9001", host: "smartsafe-portal.co"
2023/11/03 17:19:10 [error] 22#22: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 172.27.0.1, server: smartsafe-portal.co, request: "GET / HTTP/1.1", upstream: "fastcgi://172.27.0.4:9001", host: "smartsafe-portal.co"
2023/11/03 17:19:10 [error] 22#22: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 172.27.0.1, server: smartsafe-portal.co, request: "GET / HTTP/1.1", upstream: "fastcgi://172.27.0.4:9001", host: "smartsafe-portal.co"
2023/11/03 17:19:11 [error] 22#22: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 172.27.0.1, server: smartsafe-portal.co, request: "GET / HTTP/1.1", upstream: "fastcgi://172.27.0.4:9001", host: "smartsafe-portal.co"
2023/11/03 17:19:11 [error] 22#22: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 172.27.0.1, server: smartsafe-portal.co, request: "GET / HTTP/1.1", upstream: "fastcgi://172.27.0.4:9001", host: "smartsafe-portal.co"
